,head,tail,year
0,929008,52795,2019
1,891103,1412270,2020
2,842518,1667939,2020
3,74208,924901,2019
4,1100682,801748,2020
5,1618921,927653,2019
6,1071119,1126234,2019
7,1534120,1138776,2020
8,711772,1526952,2019
9,764065,918160,2020
10,310354,98752,2019
11,1067983,790703,2019
12,316709,1173431,2019
13,729986,870385,2020
14,1002638,1340127,2019
15,1770450,47217,2019
16,1562476,1095996,2020
17,36966,933141,2019
18,896622,1034258,2019
19,1471265,1094810,2020
20,899866,1070336,2020
21,1255474,867665,2019
22,1594466,1685715,2019
23,1521036,835887,2019
24,858877,1561550,2019
25,1385818,1411879,2020
26,946647,707886,2020
27,1413329,764180,2019
28,77877,1413507,2020
29,1124610,1366527,2019
30,1411494,1674168,2019
31,813828,1339947,2019
32,1743881,1731831,2019
33,1192448,1343304,2019
34,1579684,1635718,2019
35,1372807,1297704,2019
36,1124140,1131324,2019
37,203596,1253317,2019
38,812011,1517401,2019
39,928022,1040593,2019
40,1378946,1501364,2019
41,1417398,1637913,2019
42,858877,1651235,2019
43,38984,1372414,2019
44,1551152,1578845,2020
45,742126,1703038,2019
46,932696,937941,2019
47,704532,1094392,2019
48,78003,1100412,2019
49,894871,1080056,2019
50,1108524,1303652,2019
51,101829,1047122,2020
52,1123360,1320760,2019
53,25445,1091883,2019
54,1645590,949158,2019
55,1058057,1316016,2019
56,1067983,797468,2019
57,1428336,1158863,2019
58,1739104,1509190,2019
59,52988,1487101,2019
60,1411494,1563407,2019
61,884614,932628,2019
62,66570,100625,2019
63,1097864,1370702,2019
64,1071739,1279363,2020
65,25232,1176373,2019
66,1037976,1380509,2019
67,1136893,1533932,2019
68,714395,1073475,2019
69,310158,1437786,2019
70,1099800,764579,2019
71,92230,750556,2019
72,1324424,1669600,2019
73,1318605,319815,2019
74,914475,1640266,2019
75,19612,814184,2019
76,1101302,1660690,2019
77,1376139,1558785,2019
78,798354,883980,2019
79,714562,1041550,2019
80,59478,1581720,2019
81,14272,816284,2019
82,1095651,1688852,2019
83,882095,1098972,2018
84,351569,822662,2019
85,1142417,726513,2019
86,894315,894315,2018
87,1378946,1522420,2019
88,1060021,1337619,2018
89,1102266,1609951,2019
90,1464790,1023844,2018
91,1168054,1469510,2019
92,1084384,1053374,2019
93,820318,1094739,2019
94,876343,1572552,2019
95,1517228,1645494,2019
96,1592386,920424,2019
97,1527590,1556364,2019
98,789570,858339,2018
99,1157806,912750,2019
100,1110803,1299130,2018
101,1025835,99771,2019
102,1481792,1669812,2018
103,1049502,726514,2019
104,59478,1399529,2018
105,945764,77159,2018
106,51143,1087423,2019
107,826154,1551739,2019
108,1592000,1179060,2019
109,70866,1507986,2018
110,1035002,1583103,2019
111,1447669,1477425,2019
112,202058,1039101,2019
113,1260221,33619,2019
114,712534,1118237,2019
115,883948,1176316,2019
116,1535379,1610532,2019
117,1370450,1065860,2018
118,741516,1461640,2019
119,776901,1601545,2019
120,715957,1603286,2019
121,1494319,1604416,2019
122,310764,1393020,2018
123,1571123,1544229,2019
124,931015,104897,2018
125,310764,1499807,2018
126,1059556,1038222,2018
127,874766,793547,2019
128,1102934,1028215,2018
129,1539838,277595,2018
130,1020859,95521,2018
131,18349,1476651,2019
132,1501570,1606363,2019
133,98222,1030749,2018
134,1730168,356028,2018
135,1411494,1142417,2018
136,726854,1511071,2018
137,1395848,31347,2018
138,1177394,1062047,2018
139,1517022,1114220,2018
140,1166691,1308161,2018
141,1676479,1472093,2018
142,310764,885725,2018
143,1562476,39677,2018
144,702325,744485,2018
145,1411494,1657788,2018
146,35527,1139812,2019
147,895728,880285,2018
148,895728,1173911,2018
149,895728,1394074,2018
150,1555280,881890,2018
151,1614184,1497275,2019
152,1411494,108772,2018
153,1043219,1516973,2018
154,1510295,50104,2018
155,1465740,1396446,2018
156,1540947,1620928,2018
157,1035201,766829,2018
158,860413,893467,2018
159,1102266,1136796,2018
160,88205,712843,2018
161,1018724,870826,2018
162,1130310,1096385,2019
163,72741,276209,2018
164,203596,713095,2018
165,104169,49071,2018
166,1358071,1588216,2018
167,1361538,895450,2018
168,1633651,1569134,2018
169,1435064,310056,2018
170,1108524,1374684,2018
171,1331875,94344,2018
172,16058,1646383,2018
173,766829,276209,2019
174,1633978,1110647,2018
175,701221,1532063,2018
176,827054,310568,2018
177,873860,77776,2018
178,1487730,109177,2018
179,40704,1609989,2018
180,14272,906709,2018
181,860748,1195933,2018
182,933136,1520566,2018
183,884713,1123316,2018
184,40533,1646383,2018
185,1110805,1223786,2018
186,1533924,1349436,2018
187,1060736,1412067,2018
188,1296445,1172136,2018
189,882796,861838,2018
190,1464790,1059272,2018
191,1402436,714603,2018
192,5272,1535929,2018
193,715957,754737,2019
194,320193,1065280,2018
195,1567892,1365216,2018
196,354950,1166003,2017
197,47111,1640313,2018
198,708819,1027884,2018
199,16732,57528,2018
200,1001039,1308161,2019
201,356171,1163199,2018
202,700565,1129847,2018
203,1038074,790715,2017
204,896493,104897,2018
205,64803,1122304,2018
206,1058057,1175609,2018
207,351569,1404296,2018
208,1303313,799231,2018
209,1676479,1404306,2017
210,1349436,1509589,2017
211,46080,63276,2017
212,808362,1701605,2017
213,1567892,1274644,2017
214,1513965,1547638,2017
215,1013934,1104349,2018
216,1692819,1379895,2018
217,882104,1467652,2017
218,858877,1086909,2018
219,79716,1022469,2018
220,1253317,859222,2018
221,1530950,33769,2018
222,1515673,1592288,2017
223,1133421,866121,2018
224,780571,1180079,2018
225,1491419,1355839,2017
226,1659166,825410,2017
227,1435064,719733,2017
228,101829,1137411,2018
229,889331,945699,2018
230,882095,1510580,2017
231,1590877,1592288,2017
232,1163739,1022705,2017
233,879526,350846,2017
234,1618921,1388195,2017
235,1501134,1383183,2017
236,1002638,1375557,2017
237,1339947,1430602,2017
238,7789,1123270,2018
239,908255,825411,2017
240,1339605,1617667,2017
241,716133,1487986,2018
242,1411494,1577095,2017
243,732712,1001039,2017
244,1004702,1017793,2018
245,95953,931584,2017
246,857855,1040799,2017
247,33213,1588238,2017
248,1018724,865436,2017
249,706129,1500836,2017
250,870385,1027183,2017
251,1002638,1563699,2017
252,882184,1406587,2017
253,883980,1614818,2017
254,824410,1476264,2018
255,840489,840489,2017
256,1411494,1024657,2017
257,1404912,1230276,2017
258,912752,726513,2017
259,1492298,1639947,2017
260,36966,1479750,2017
261,764038,1507277,2017
262,100493,1669792,2017
263,732712,1574460,2018
264,10795,9892,2017
