cik,component,size
1664740,0,12874
1080340,0,12874
1468910,2,2
888471,2,2
58361,0,12874
1084869,0,12874
1792580,0,12874
1694028,0,12874
1707178,0,12874
807882,0,12874
816761,0,12874
889331,0,12874
862861,0,12874
1045742,0,12874
825313,0,12874
1333986,0,12874
1109448,0,12874
727920,0,12874
812796,0,12874
1587246,0,12874
1439095,0,12874
913241,0,12874
1113513,0,12874
1691299,0,12874
1656936,0,12874
949961,0,12874
733590,0,12874
1102238,0,12874
867038,0,12874
1555280,0,12874
1136893,0,12874
940944,0,12874
768835,0,12874
916365,0,12874
65770,0,12874
1470099,0,12874
1113169,0,12874
892537,0,12874
1048286,0,12874
1664703,0,12874
1674168,0,12874
906553,0,12874
1000298,0,12874
1065837,0,12874
1337619,0,12874
1487371,0,12874
1567683,0,12874
1637757,0,12874
1466225,0,12874
1559484,0,12874
891024,0,12874
109563,0,12874
1046568,0,12874
1550695,0,12874
1124804,0,12874
1553023,0,12874
1609253,0,12874
1581990,0,12874
1070423,0,12874
1617977,0,12874
1781755,0,12874
1090425,0,12874
899045,0,12874
1111928,0,12874
1408710,0,12874
922360,0,12874
1012493,0,12874
922358,0,12874
922359,0,12874
1067063,0,12874
924901,0,12874
1438133,0,12874
92416,0,12874
1692115,0,12874
1434842,0,12874
1496099,0,12874
1781870,0,12874
1774675,0,12874
1630940,0,12874
1691303,0,12874
1589526,0,12874
1559865,0,12874
1301787,0,12874
1646972,0,12874
1636282,0,12874
1273636,0,12874
1090872,0,12874
21510,0,12874
1123360,0,12874
107140,0,12874
1336047,0,12874
949039,0,12874
21175,0,12874
785161,0,12874
35527,0,12874
80424,0,12874
896878,0,12874
1760173,0,12874
790526,0,12874
920465,0,12874
1717452,0,12874
1688941,0,12874
1678463,0,12874
1267813,0,12874
1107421,0,12874
13156,0,12874
1071255,0,12874
74145,0,12874
1021635,0,12874
1591763,0,12874
1396033,0,12874
813298,0,12874
1009829,0,12874
1753886,0,12874
883237,0,12874
876437,0,12874
49826,0,12874
277135,0,12874
926617,0,12874
1169987,0,12874
1370880,0,12874
1058057,0,12874
723125,0,12874
1447362,0,12874
1384101,0,12874
927628,0,12874
1048695,0,12874
1492658,0,12874
1397702,0,12874
922864,0,12874
926660,0,12874
1421461,0,12874
726728,0,12874
915140,0,12874
910612,0,12874
933136,0,12874
1651052,0,12874
1772757,0,12874
1564902,0,12874
1688476,0,12874
909724,0,12874
51253,0,12874
1003078,0,12874
1636050,0,12874
1771917,0,12874
10795,0,12874
26076,0,12874
19411,0,12874
1332349,0,12874
1339970,0,12874
1466301,0,12874
811156,0,12874
201533,0,12874
1758488,0,12874
1771908,0,12874
1731289,0,12874
1708055,0,12874
892553,0,12874
775158,0,12874
1047884,0,12874
787253,0,12874
1692819,0,12874
1745797,0,12874
1024305,0,12874
1418135,0,12874
1733186,0,12874
1660734,0,12874
29915,0,12874
1751788,0,12874
1715768,169,3
1769804,169,3
1738021,169,3
1039065,0,12874
1571283,0,12874
1286964,0,12874
1181749,0,12874
1108426,176,4
22767,176,4
81023,176,4
1398733,0,12874
1061983,0,12874
730464,0,12874
1748907,0,12874
105319,0,12874
317540,0,12874
811589,0,12874
815097,0,12874
1125259,0,12874
90144,0,12874
928576,0,12874
1081316,0,12874
75594,0,12874
71180,0,12874
1098296,0,12874
1704720,0,12874
70866,0,12874
1617227,0,12874
2186,0,12874
1591890,0,12874
946454,0,12874
1101239,0,12874
1280263,0,12874
1517413,0,12874
1262039,0,12874
1054721,0,12874
1085869,0,12874
1495240,0,12874
1143513,0,12874
1321741,0,12874
1234006,0,12874
771497,0,12874
1067294,0,12874
1034842,0,12874
1454789,0,12874
1031296,0,12874
1519061,0,12874
1693415,0,12874
1485003,0,12874
1293971,0,12874
1773427,0,12874
1718108,0,12874
706688,0,12874
36047,0,12874
1482512,0,12874
1496264,0,12874
81362,0,12874
84748,0,12874
1674760,0,12874
1572694,0,12874
1683074,0,12874
1772704,0,12874
1652130,0,12874
1701108,0,12874
1586105,0,12874
1160308,0,12874
915912,0,12874
1681169,0,12874
1611547,0,12874
1705110,0,12874
891103,0,12874
1311370,0,12874
1326141,0,12874
1606163,0,12874
1009759,0,12874
1783183,0,12874
863436,0,12874
728535,0,12874
28385,0,12874
936340,0,12874
943452,0,12874
1610950,0,12874
1590584,0,12874
1171486,0,12874
1722287,0,12874
1060224,0,12874
944314,0,12874
9984,0,12874
893691,0,12874
1142750,0,12874
1581776,0,12874
912595,0,12874
1787306,0,12874
352998,0,12874
1419600,0,12874
109177,0,12874
1592706,0,12874
1603923,0,12874
1724965,0,12874
1434418,0,12874
1654151,0,12874
1582313,0,12874
1785173,0,12874
874015,0,12874
29332,0,12874
1115055,0,12874
1519751,0,12874
1591698,0,12874
48287,0,12874
1735184,0,12874
894315,0,12874
809248,0,12874
744187,0,12874
1495320,0,12874
1670592,0,12874
842183,0,12874
1111335,0,12874
866273,0,12874
1514705,0,12874
1000229,0,12874
99250,0,12874
110019,0,12874
1590895,0,12874
914712,0,12874
1452857,0,12874
1560672,0,12874
1411342,0,12874
1621443,0,12874
1517022,0,12874
1519401,0,12874
1141391,0,12874
872912,0,12874
1178253,0,12874
1461219,302,2
1461237,302,2
72971,0,12874
4447,0,12874
1376227,0,12874
1405513,0,12874
1005101,0,12874
1396878,0,12874
1472494,0,12874
1405528,0,12874
1327068,0,12874
101829,0,12874
70858,0,12874
1534701,0,12874
897429,0,12874
1649904,0,12874
1104506,0,12874
915913,0,12874
26780,0,12874
1286681,0,12874
66382,0,12874
1743881,0,12874
1512762,0,12874
906107,0,12874
931182,0,12874
1604738,0,12874
1574085,0,12874
1399529,0,12874
1427925,0,12874
27419,0,12874
1041061,0,12874
759944,0,12874
850141,0,12874
84129,0,12874
883241,0,12874
6951,0,12874
1481832,0,12874
704415,0,12874
795266,0,12874
92380,0,12874
1465872,0,12874
76321,0,12874
1515156,0,12874
1281774,0,12874
2178,0,12874
1061219,0,12874
1506251,0,12874
1166388,0,12874
107833,0,12874
783325,0,12874
107815,0,12874
807707,0,12874
1361983,0,12874
1051512,0,12874
821130,0,12874
