cik,company,sic,state_of_inc,state_location,year,,
20,K TRON INTERNATIONAL INC,3823,NJ,NJ,2002,,
1750,AAR CORP,3720,DE,IL,2002,,
1800,ABBOTT LABORATORIES,2834,IL,IL,2002,,
1853,"MotivNation, Inc.",3711,,CA,2008,,
1923,"SERVIDYNE, INC.",1540,GA,GA,2006,,
1961,WORLDS INC,7372,NJ,MA,2011,,
2024,ACE HARDWARE CORP,5070,DE,IL,2002,,
2034,ACETO CORP,5160,NY,NY,2002,,
2062,ACMAT CORP,6351,CT,CT,2002,,
2098,ACME UNITED CORP,3420,CT,CT,2002,,
2135,AFFILIATED COMPUTER SERVICES INC,7374,DE,TX,2002,,
2178,"ADAMS RESOURCES & ENERGY, INC.",5172,DE,TX,2005,,
2186,BK Technologies Corp,3663,NV,FL,2019,,
2488,ADVANCED MICRO DEVICES INC,3674,DE,CA,2002,,
2491,"BALLY TECHNOLOGIES, INC.",7990,NV,NV,2006,,
2589,AERO SYSTEMS ENGINEERING INC,8711,MN,MN,2002,,
2601,AEROFLEX INC,3674,DE,NY,2003,,
2852,AGWAY INC,2040,DE,NY,2002,,
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2810,DE,PA,2002,,
3000,AIRBORNE INC /DE/,4513,DE,WA,2002,,
3116,AKORN INC,2834,LA,IL,2002,,
3133,AMSOUTH BANCORPORATION,6022,DE,AL,2002,,
3146,SPIRE ALABAMA INC,4924,AL,AL,2017,,
3153,ALABAMA POWER CO,4911,AL,AL,2002,,
3197,CECO ENVIRONMENTAL CORP,3564,NY,TX,2002,,
3202,ALASKA AIRLINES INC,4512,AK,WA,2002,,
3327,ALBERTO CULVER CO,5990,DE,IL,2002,,
3333,ALBERTSONS INC /DE/,5411,DE,ID,2002,,
3370,IKON OFFICE SOLUTIONS INC,5045,OH,PA,2002,,
3453,"Matson, Inc.",4400,HI,HI,2012,,
3499,ALEXANDERS INC,6798,DE,NJ,2002,,
3545,"ALICO, INC.",100,FL,FL,2019,,
3570,"Cheniere Energy, Inc.",4924,DE,TX,2019,,
3642,ALLCITY INSURANCE CO /NY/,6331,NY,NY,2002,,
3673,"ALLEGHENY ENERGY, INC",4911,MD,PA,2005,,
3721,ALLEN TELECOM INC,3663,DE,OH,2002,,
3753,ALLEN ORGAN CO,3931,PA,PA,2002,,
3906,ALLIED CAPITAL CORP,,MD,DC,2002,,
3952,ALLIED DEFENSE GROUP INC,3480,DE,VA,2002,,
3982,Allis Chalmers Energy Inc.,3590,DE,TX,2004,,
4127,"SKYWORKS SOLUTIONS, INC.",3674,DE,CA,2011,,
4164,ALPINE GROUP INC /DE/,3357,DE,NJ,2002,,
4187,INDUSTRIAL SERVICES OF AMERICA INC,4950,FL,KY,2014,,
4281,Howmet Aerospace Inc.,3350,DE,PA,2020,,
4285,ALCAN INC,3334,A6,A8,2002,,
4317,SENTO CORP,7373,UT,UT,2006,,
4344,BESTWAY INC,7359,DE,TX,2002,,
4447,HESS CORP,2911,DE,NY,2006,,
4457,AMERCO /NV/,7510,NV,NV,2002,,
4458,U HAUL INTERNATIONAL INC,7510,NV,AZ,2002,,
4515,"AMERICAN AIRLINES, INC.",4512,DE,TX,2019,,
4611,AMERICAN BILTRITE INC,3089,DE,MA,2002,,
4811,AMERICAN CONSUMERS INC,5411,GA,GA,2002,,
4828,AMERICAN CRYSTAL SUGAR CO /MN/,2060,MN,MN,2002,,
4904,AMERICAN ELECTRIC POWER CO INC,4911,NY,OH,2002,,
4962,AMERICAN EXPRESS CO,6199,NY,NY,2002,,
4969,AMERICAN EXPRESS CREDIT CORP,6153,DE,NY,2002,,
4977,AFLAC INC,6321,GA,GA,2002,,
5016,AMERICAN FINANCIAL CORP,6331,OH,OH,2002,,
5117,EMTEC INC/NJ,7389,UT,UT,2002,,
5133,AMERICAN GREETINGS CORP,2771,OH,OH,2002,,
5187,WYETH,2834,DE,NJ,2002,,
5197,AMERICAN HOSPITAL MANAGEMENT CORP,8062,CA,CA,2002,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",6331,DE,NY,2020,,
5513,Unum Group,6321,DE,TN,2007,,
5550,AMERICAN NUCLEAR CORP,9995,CO,WY,2002,,
5656,AMERICAN INTERNATIONAL VENTURES INC /DE/,9995,DE,FL,2009,,
5768,"AMERICAN SCIENCE & ENGINEERING, INC.",3844,MA,MA,2010,,
5907,AT&T CORP,4813,NY,NJ,2002,,
5910,AMERICAN TELEVISION & COMMUNICATIONS CORP,4841,DE,NY,2002,,
5981,AMERICAN VANGUARD CORP,2870,DE,CA,2002,,
6071,AMES DEPARTMENT STORES INC,5331,DE,CT,2002,,
6176,AMPCO PITTSBURGH CORP,3561,PA,PA,2002,,
6201,American Airlines Group Inc.,4512,DE,TX,2013,,
6207,AMREP CORP.,7389,OK,PA,2007,,
6260,ANACOMP INC,3861,IN,CA,2002,,
6281,ANALOG DEVICES INC,3674,MA,MA,2002,,
6284,ANALOGIC CORP,3825,MA,MA,2002,,
6292,ANALYSTS INTERNATIONAL CORP,7371,MN,MN,2002,,
6314,ANAREN  INC,3663,NY,NY,2003,,
6342,AIG SUNAMERICA LIFE ASSURANCE CO,,AZ,CA,2002,,
6383,MOSCOW CABLECOM CORP,4841,DE,NY,2004,,
6494,ANDREA ELECTRONICS CORP,3663,NY,NY,2002,,
6571,ANGELICA CORP /NEW/,7200,MO,MO,2002,,
6720,K2 INC,3949,DE,NY,2002,,
6732,"NAC GLOBAL TECHNOLOGIES, INC.",3560,NV,TX,2014,,
6769,APACHE CORP,1311,DE,TX,2002,,
6814,COMFORCE CORP,7363,DE,NY,2002,,
6845,"APOGEE ENTERPRISES, INC.",3231,MN,MN,2011,,
6879,APPALACHIAN POWER CO,4911,VA,OH,2002,,
6885,STAGE STORES INC,5651,NV,TX,2002,,
6951,APPLIED MATERIALS INC /DE,3559,DC,CA,2002,,
6955,ENERPAC TOOL GROUP CORP,3590,WI,WI,2020,,
7032,ARAMARK CORP,5812,DE,PA,2007,,
7039,TRECORA RESOURCES,2911,DE,TX,2014,,
7084,Archer-Daniels-Midland Co,2070,DE,IL,2019,,
7214,WASHINGTON MUTUAL FINANCE CORP,6141,DE,FL,2002,,
7286,ARIZONA PUBLIC SERVICE CO,4931,AZ,AZ,2002,,
7323,"ENTERGY ARKANSAS, LLC",4911,TX,AR,2018,,
7332,SOUTHWESTERN ENERGY CO,1311,AR,TX,2002,,
7431,ARMSTRONG WORLD INDUSTRIES INC,3089,PA,PA,2002,,
7536,ARROW ELECTRONICS INC,5065,NY,CO,2002,,
7623,ARTS WAY MANUFACTURING CO INC,3523,DE,IA,2002,,
7694,ASHLAND INC,5160,KY,KY,2002,,
7789,ASSOCIATED BANC-CORP,6022,WI,WI,2002,,
8063,ASTRONICS CORP,2650,NY,NY,2002,,
8146,"AstroNova, Inc.",3577,RI,RI,2017,,
8177,ATLANTIC AMERICAN CORP,6311,GA,GA,2002,,
8192,ATLANTIC CITY ELECTRIC CO,4911,NJ,DE,2002,,
8328,"Applied Minerals, Inc.",1040,DE,UT,2009,,
8411,ATWOOD OCEANICS INC,1381,TX,TX,2002,,
8497,ASSURANCEAMERICA CORP,6331,NV,GA,2007,,
8504,AgEagle Aerial Systems Inc.,3721,NV,KS,2018,,
8598,AUTO GRAPHICS INC,7374,CA,CA,2002,,
8643,MEDICORE INC,3679,FL,FL,2002,,
8670,AUTOMATIC DATA PROCESSING INC,7374,DE,NJ,2002,,
8734,AMBASSADOR FOOD SERVICES CORP,5812,DE,NY,2004,,
8818,Avery Dennison Corp,2670,DE,CA,2011,,
8855,AMERICAN LOCKER GROUP INC,2540,DE,TX,2002,,
8858,AVNET INC,5065,NY,AZ,2002,,
8868,AVON PRODUCTS INC,2844,NY,NY,2002,,
8947,AZZ INC,3640,TX,TX,2002,,
9092,BADGER METER INC,3824,WI,WI,2002,,
9096,BADGER PAPER MILLS INC,2621,WI,WI,2002,,
9235,BKF CAPITAL GROUP INC,6282,DE,CA,2002,,
9263,MICHAEL BAKER CORP,8741,PA,PA,2010,,
9326,BALCHEM CORP,2800,MD,NY,2002,,
9342,BALDOR ELECTRIC CO,3621,MO,AR,2002,,
9346,Protective Insurance Corp,6331,IN,IN,2018,,
9389,BALL CORP,3411,IN,CO,2002,,
9442,BALTEK CORP,2430,DE,NJ,2002,,
9466,BALTIMORE GAS & ELECTRIC CO,4931,MD,MD,2002,,
9534,BANDAG INC,3011,IA,IA,2002,,
9548,BANGOR HYDRO ELECTRIC CO,4911,ME,ME,2002,,
9626,BANK OF NEW YORK CO INC,6022,NY,NY,2002,,
9631,BANK OF NOVA SCOTIA,6022,Z4,A6,2015,,
9779,FAIRCHILD CORP,3452,DE,VA,2002,,
9801,BANTA CORP,2750,WI,WI,2002,,
9892,BARD C R INC /NJ/,3841,NJ,NJ,2002,,
9984,BARNES GROUP INC,3490,DE,CT,2002,,
10048,BARNWELL INDUSTRIES INC,1311,DE,HI,2006,,
10081,BARR PHARMACEUTICALS INC,2834,DE,NJ,2004,,
10254,EARTHSTONE ENERGY INC,1311,DE,TX,2010,,
10329,BASSETT FURNITURE INDUSTRIES INC,2511,VA,VA,2002,,
10427,BAUSCH & LOMB INC,3851,NY,NY,2002,,
10456,BAXTER INTERNATIONAL INC,3841,DE,IL,2002,,
10795,BECTON DICKINSON & CO,3841,NJ,NJ,2002,,
11107,VERIZON PENNSYLVANIA INC,4813,PA,PA,2002,,
11199,BEMIS CO INC,2670,MO,WI,2002,,
11544,BERKLEY W R CORP,6331,DE,CT,2002,,
11860,BETHLEHEM STEEL CORP /DE/,3312,DE,PA,2002,,
12040,FLANIGANS ENTERPRISES INC,5812,FL,FL,2002,,
12208,"BIO-RAD LABORATORIES, INC.",3826,DE,CA,2018,,
12239,AIkido Pharma Inc.,8731,DE,NY,2020,,
12355,BLACK & DECKER CORP,3540,MD,MD,2002,,
12400,BLACK HILLS POWER INC,4911,SD,SD,2002,,
12570,LEXINGTON PRECISION CORP,3060,DE,NY,2002,,
12659,H&R BLOCK INC,7200,MO,MO,2002,,
