,heads,tails
0,1511261,935036
1,1130598,1286345
2,357173,1601617
3,1668186,1593195
4,64472,1515069
5,1439254,1515816
6,319815,880266
7,1634424,1419560
8,1550518,92380
9,1448056,1481832
10,1127993,846617
11,1354513,1169770
12,722572,1557805
13,1043565,1167609
14,732717,944400
15,1608249,1405227
16,882796,829224
17,1403528,1664127
18,1005229,880417
19,849869,1478085
20,748268,754737
21,1086222,701869
22,832488,1651992
23,812348,1595527
24,1396814,1419242
25,1059562,799088
26,1471727,1033012
27,18672,808461
28,1632127,1573292
29,1522602,1396730
30,1041061,1561880
31,768411,1141615
32,725876,1607641
33,82811,1454124
34,1079282,277058
35,1488613,1639068
36,1337182,946581
37,703329,1004980
38,1298675,1407805
39,918251,1042893
40,925263,886137
41,1663244,1159408
42,1409446,823768
43,1065298,752195
44,55772,1363573
45,1284812,1585067
46,1675033,1574085
47,1354371,1578685
48,1526113,1513965
49,883293,801622
50,713676,1515718
51,1583138,1445541
52,1501489,1388180
53,1610607,1019650
54,1566011,1121788
55,350644,1584509
56,1433994,711665
57,315858,90721
58,810958,702513
59,932781,1563756
60,1399352,1634291
61,1543739,1072627
62,1292556,1492426
63,1069394,1434737
64,827054,932111
65,3197,1346980
66,1001838,353184
67,1135971,1324424
68,1554970,1667944
69,81318,1578735
70,1385799,1321710
71,1629433,1585101
72,1260968,100726
73,1296435,1275229
74,1620928,1675820
75,1395942,1616156
76,1619917,1603286
77,1606364,1504876
78,1556364,1637008
79,1274494,1090727
80,1520300,1541451
81,1631001,1393052
82,1093557,92487
83,38984,842295
84,1562151,1408146
85,945764,1549631
86,1064728,1553079
87,882095,921506
88,887936,1490636
89,1175505,1362468
90,700733,1081568
91,1311735,876437
92,1477294,755001
93,1578821,1493040
94,1589632,1019650
95,1065696,728303
96,866368,909724
97,1043961,1095565
98,726514,730716
99,1461219,1604416
100,1403433,856135
101,1497649,793733
102,1173911,1623077
103,1015155,813298
104,1600132,814549
105,1403161,1164863
106,1294632,1336920
107,1094038,1662784
108,1589699,1289237
109,712034,1002037
110,319655,1382231
111,1267425,1569134
112,1571371,734543
113,1516973,1437071
114,73088,81023
115,1136294,1364742
116,1639691,1466225
117,1014473,1571949
118,1571636,1227268
119,25475,1111741
120,1460602,844143
121,1522182,1661181
122,1616101,1316898
123,850693,109831
124,1379895,1307140
125,1510580,1376986
126,727672,880771
127,793952,1560905
128,812703,1112263
129,8868,731245
130,1437517,1633241
131,1034258,1000779
132,910406,1552198
133,1483830,805928
134,4962,896878
135,72207,1606757
136,1025953,1455819
137,1045541,1022321
138,318154,1654861
139,315958,1606180
140,1592386,845819
141,854662,897941
142,1558546,351569
143,1125699,79958
144,1065088,1053676
145,97745,1651235
146,1672888,1588656
147,100517,230211
148,1337182,107140
149,18926,1642081
150,1388133,754737
151,1552111,1024657
152,1210708,1509991
153,1054905,1609319
154,1301075,744825
155,1387061,1088413
156,1326917,914156
157,1056903,1483830
158,1627223,1283598
159,1466538,1656681
160,1161706,1607641
161,1052054,922358
162,1606745,820027
163,84748,711665
164,1060349,1611988
165,1541119,1677576
166,1618755,1400891
167,1022899,1000297
168,29669,25212
169,1643550,914712
170,1640982,1104265
171,1350593,18926
172,1090425,318346
173,748790,1309136
174,1131089,1619312
175,1500435,1587987
176,1581653,1064116
177,767405,1065078
178,1095130,1010086
179,1364479,1049108
180,1121745,1457919
181,78003,902622
182,1310157,1341141
183,1173514,1665081
184,1579241,1195116
185,1084752,1380393
186,1635840,875159
187,28385,1267395
188,1158420,850429
189,1587063,1341319
190,1419583,1030469
191,25895,1597672
192,1651958,1365160
193,1522690,1605331
194,1124610,859360
195,904896,1615780
196,1281845,1681312
197,778164,60714
198,1102112,1241199
199,1334933,1593195
200,804753,1547355
201,1475274,1334586
202,1580883,1392363
203,928658,1448558
204,1060822,1449488
205,275053,1606366
206,1281895,1339605
207,1608638,1414295
208,1404281,741815
