,average_neighbor_degree,louvain,motifs_node_3_1,motifs_node_3_2,motifs_node_4_1,motifs_node_4_2,motifs_node_4_3,motifs_node_4_4,motifs_node_4_5,motifs_node_4_6,k_core,page_rank,fiedler_vector,closeness_centrality,eccentricity,load_centrality,bfs_moments_1,bfs_moments_2,betweenness_centrality,eigenvector_centrality,clustering_coefficient,square_clustering_coefficient
1000015,8.166666984558105,159.0,37.0,4.0,116.0,385.0,38.0,0.0,14.0,0.0,4.0,3.917280264431611e-05,-0.00024374073836952448,0.11603755503892899,12.0,3.248855864512734e-05,6.438704013824463,1.1551092863082886,4639.07958984375,1.0025692949444664e-11,0.0,0.02777777798473835
1000045,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1000180,18.84375,4202.0,832.0,82.0,7630.0,17344.0,2688.0,67.0,771.0,46.0,8.0,0.00015903219173196703,-0.00023609957133885473,0.14632944762706757,11.0,0.0009055043919943273,5.312829494476318,1.1946693658828735,159178.71875,1.4870042974735043e-08,0.06436781585216522,0.01845531538128853
1000209,9.25,4202.0,72.0,31.0,154.0,778.0,252.0,1.0,59.0,31.0,5.0,6.939512968529016e-05,-0.0002415770140942186,0.12149541825056076,13.0,0.00018330653256271034,6.194384574890137,1.2195185422897339,28980.39453125,2.402903154230529e-10,0.31111112236976624,0.15342465043067932
1000227,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1000228,21.136363983154297,4202.0,489.0,61.0,4052.0,10187.0,2281.0,25.0,401.0,52.0,8.0,9.328754094894975e-05,-0.00022841093596071005,0.14323076605796814,12.0,0.0003057420253753662,5.406134128570557,1.1867433786392212,54628.546875,8.465706358151692e-09,0.1473684161901474,0.0370737761259079
1000229,9.5,635.0,56.0,11.0,190.0,633.0,119.0,2.0,26.0,4.0,4.0,4.4220614654477686e-05,-0.00023417139891535044,0.11564809828996658,13.0,4.585472561302595e-05,6.457019329071045,1.244681715965271,7735.75341796875,1.2648096112122253e-11,0.20000000298023224,0.07598784565925598
1000230,8.0,189.0,20.0,15.0,33.0,131.0,90.0,1.0,14.0,14.0,4.0,5.155101098353043e-05,-0.00023663516913075,0.11116725951433182,13.0,6.044642759661656e-07,6.676976203918457,1.1678639650344849,74.1419906616211,6.050277640001767e-11,0.800000011920929,0.41605839133262634
1000232,10.0,4202.0,24.0,1.0,256.0,449.0,26.0,0.0,18.0,0.0,1.0,1.910013088490814e-05,-0.00025413365801796317,0.12021182477474213,13.0,0.0,6.24984884262085,1.1916714906692505,0.0,4.31237615061697e-11,0.0,0.043478261679410934
1000234,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1000235,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1000278,3.6666667461395264,4202.0,5.0,1.0,7.0,24.0,5.0,0.0,3.0,0.0,1.0,2.6853116651182063e-05,-0.000246448878897354,0.09860709309577942,13.0,0.0,7.400086402893066,1.1353423595428467,0.0,2.598975722134522e-13,0.0,0.25
1000297,8.0,184.0,32.0,16.0,58.0,204.0,100.0,0.0,25.0,12.0,4.0,5.590999353444204e-05,-0.000203343341127038,0.1081792488694191,13.0,3.8469072023872286e-05,6.833779811859131,1.208972692489624,5720.73828125,5.762562193915854e-13,0.46666666865348816,0.22869955003261566
1000298,7.9375,243.0,112.0,44.0,264.0,756.0,266.0,0.0,168.0,46.0,6.0,0.0001102266032830812,-0.00021493005624506623,0.1181584820151329,12.0,0.0005051806219853461,6.3410797119140625,1.1825737953186035,78856.3359375,7.665235113307745e-11,0.17582418024539948,0.1189655140042305
1000459,5.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5.4528602049686015e-05,0.4459837079048157,0.00021812629711348563,1.0,0.0,1.7999999523162842,0.4000000059604645,0.0,4.129212097100705e-28,1.0,2.0
1000495,5.333333492279053,4202.0,10.0,1.0,39.0,92.0,9.0,0.0,7.0,0.0,1.0,2.1304986148606986e-05,-0.00024206095258705318,0.1077309399843216,13.0,0.0,6.85805606842041,1.1554653644561768,0.0,1.2230869095297692e-11,0.0,0.1111111119389534
1000564,15.272727012634277,4202.0,118.0,28.0,877.0,1749.0,410.0,1.0,114.0,28.0,6.0,5.461780892801471e-05,-0.00023029683507047594,0.12905976176261902,12.0,5.012984183849767e-05,5.88993501663208,1.1753324270248413,9012.314453125,4.5402956394546834e-10,0.4444444477558136,0.128521129488945
1000623,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1000654,15.272727012634277,4202.0,118.0,27.0,877.0,1749.0,410.0,1.0,114.0,26.0,6.0,5.461780892801471e-05,-0.00023029683507047594,0.12905976176261902,12.0,5.012984183849767e-05,5.88993501663208,1.1753324270248413,9012.314453125,4.5402956394546834e-10,0.4444444477558136,0.128521129488945
1000683,7.833333492279053,88.0,29.0,7.0,104.0,314.0,33.0,0.0,23.0,2.0,3.0,3.959197420044802e-05,-0.00022137508494779468,0.11068383604288101,13.0,6.6178336055600084e-06,6.701771259307861,1.1860424280166626,982.9804077148438,4.461044728065744e-11,0.3333333432674408,0.20353981852531433
1000688,8.833333015441895,1200.0,32.0,10.0,369.0,433.0,47.0,0.0,25.0,7.0,3.0,5.257758675725199e-05,-0.0002706700179260224,0.11382977664470673,12.0,0.000206462835194543,6.544189929962158,1.2135714292526245,34713.0,1.4539488319906257e-12,0.5,0.1366906464099884
1000694,19.36842155456543,1200.0,389.0,39.0,3402.0,7177.0,1209.0,20.0,272.0,25.0,8.0,0.00010602284601191059,-0.00024202041095122695,0.13868682086467743,12.0,0.0006239361246116459,5.550496578216553,1.1891603469848633,106403.625,1.999810317343531e-10,0.11029411852359772,0.02554677426815033
1000695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1000697,14.84615421295166,4202.0,483.0,73.0,3578.0,8324.0,1329.0,9.0,518.0,71.0,7.0,0.00013112116721458733,-0.00023267803771886975,0.14159275591373444,12.0,0.0006928419461473823,5.45710563659668,1.1965556144714355,113366.6796875,1.1861307491756179e-09,0.09782608598470688,0.03067961148917675
1000736,11.538461685180664,4202.0,141.0,25.0,524.0,2232.0,300.0,18.0,95.0,9.0,6.0,7.170661410782486e-05,-0.00023580147535540164,0.12990204989910126,12.0,0.00015065113257151097,5.858229160308838,1.1547386646270752,24203.845703125,2.0625523511341726e-09,0.1090909093618393,0.06039215624332428
1000753,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1000779,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1000787,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1000955,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1001039,27.884614944458008,4202.0,834.0,61.0,13301.0,21283.0,4925.0,74.0,648.0,30.0,8.0,0.00011251157411606982,-0.00022742476721759886,0.14938776195049286,11.0,0.0005400949157774448,5.2245354652404785,1.1957964897155762,94040.3515625,8.92912233041443e-09,0.0833333358168602,0.017628103494644165
1001065,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1001082,5.833333492279053,1200.0,11.0,10.0,30.0,150.0,25.0,0.0,4.0,6.0,3.0,5.085561497253366e-05,-0.0002520879788789898,0.11123497784137726,13.0,6.882094749016687e-05,6.673520565032959,1.1716313362121582,11571.0,8.001844326033236e-11,0.6666666865348816,0.4237288236618042
1001113,10.5,4202.0,51.0,4.0,219.0,666.0,61.0,0.0,21.0,0.0,4.0,3.2372106943512335e-05,-0.00023995904484763741,0.12320024520158768,12.0,2.4736080376897007e-05,6.122505187988281,1.183992862701416,3643.448486328125,1.0625247903739421e-10,0.0,0.019999999552965164
1001115,3.5999999046325684,184.0,4.0,7.0,1.0,22.0,3.0,0.0,4.0,2.0,2.0,5.6815399148035794e-05,-0.0002769331040326506,0.09216973185539246,14.0,0.00013765378389507532,7.847084045410156,1.2607837915420532,23144.0,6.204302039302095e-15,0.3333333432674408,0.46666666865348816
1001171,10.333333015441895,4202.0,25.0,1.0,272.0,409.0,35.0,0.0,18.0,0.0,1.0,1.899871858768165e-05,-0.00023472447355743498,0.11983320116996765,13.0,0.0,6.2664361000061035,1.2036054134368896,0.0,1.9509385426608183e-11,0.0,0.0416666679084301
1001185,15.142857551574707,4202.0,91.0,6.0,686.0,1821.0,145.0,0.0,49.0,1.0,5.0,3.347092933836393e-05,-0.00023525864526163787,0.1303633749485016,12.0,3.977629603468813e-05,5.841036796569824,1.1899328231811523,6139.7861328125,2.401703003140909e-10,0.10000000149011612,0.02460850030183792
1001193,7.777777671813965,4202.0,58.0,12.0,129.0,638.0,78.0,1.0,20.0,1.0,4.0,6.34524185443297e-05,-0.00024254665186163038,0.11904812604188919,12.0,0.00017963068967219442,6.301166534423828,1.1991405487060547,29690.099609375,3.238006043848607e-11,0.0476190485060215,0.034285712987184525
100122,15.214285850524902,4202.0,184.0,34.0,1411.0,3116.0,536.0,6.0,167.0,25.0,7.0,7.532585004810244e-05,-0.00023025221889838576,0.13646899163722992,12.0,0.00016421955660916865,5.624449253082275,1.151521921157837,29977.974609375,1.3490975003804806e-09,0.22727273404598236,0.07038123160600662
1001233,11.777777671813965,1200.0,248.0,33.0,1199.0,3615.0,453.0,11.0,166.0,9.0,7.0,0.00010463427315698937,-0.00023892206081654876,0.1316366344690323,12.0,0.0003637599293142557,5.7942118644714355,1.1554664373397827,58558.05078125,1.3209286997550862e-09,0.05000000074505806,0.021121632307767868
1001250,13.0,65.0,51.0,4.0,576.0,974.0,276.0,0.0,41.0,1.0,3.0,2.697808486118447e-05,-0.00022382807219401002,0.11981943994760513,12.0,1.689119562797714e-05,6.267041206359863,1.214156150817871,2911.17333984375,5.322685694975071e-11,0.3333333432674408,0.044871795922517776
1001258,3.0,159.0,4.0,6.0,1.0,3.0,2.0,0.0,6.0,0.0,1.0,7.652218482689932e-05,-0.0003472241514828056,0.07691971957683563,16.0,0.00013765973562840372,9.204578399658203,1.2135860919952393,23145.0,1.5911068891002478e-17,0.0,0.25
1001279,3.0,635.0,3.0,1.0,3.0,15.0,2.0,0.0,1.0,0.0,1.0,3.132648635073565e-05,-0.0002523032308090478,0.09439212083816528,14.0,0.0,7.685874938964844,1.167147159576416,0.0,1.361292263808711e-13,0.0,0.5
1001288,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4528602049686015e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.065821872246946e-36,0.0,0.0
1001316,10.727272987365723,1200.0,95.0,20.0,460.0,1035.0,296.0,0.0,63.0,9.0,5.0,7.320482836803421e-05,-0.0002437731745885685,0.12255535274744034,13.0,0.00015137232549022883,6.1494598388671875,1.1484023332595825,23899.099609375,1.9010557017473673e-11,0.1944444477558136,0.05985037237405777
